Gender,Customer_Type,Type_of_Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Departure_Delay,satisfaction,Arrival_Delay
1,0,0,0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,0,0,0
0,1,1,0,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,0,0,0
1,1,1,0,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,0,1,0
1,1,1,0,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,0,0,0
0,1,0,2,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,0,1,0
0,1,0,2,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,1,1,1
0,1,0,2,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,1,1,1
0,1,1,0,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,0,0,0
1,1,1,0,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,0,0,0
1,1,0,2,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,0,1,0
0,1,0,0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,0,0,0
0,0,0,0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,0,0,0
1,1,0,2,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,0,1,0
0,1,1,0,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,0,0,0
0,1,1,1,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,0,0,0
1,0,0,0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,0,0,0
0,0,0,0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,0,0,0
0,1,0,2,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,0,1,0
0,1,1,0,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,0,0,0
0,1,0,2,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,0,1,0
0,1,0,1,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,0,1,0
0,1,0,2,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,0,1,0
1,1,0,0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,0,1,0
0,1,1,2,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,0,0,0
0,1,1,0,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,0,0,0
1,1,1,0,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,0,0,0
0,1,1,0,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,0,0,0
0,1,0,2,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,0,0,0
0,1,0,2,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,1,1,1
0,1,0,2,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,0,1,0
1,1,1,0,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,0,0,0
0,1,1,1,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,0,0,0
1,1,1,0,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,0,0,0
0,0,0,2,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,1,0,1
0,1,0,2,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,0,1,0
1,0,0,1,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,0,0,1
1,0,0,2,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,0,0,0
1,1,0,2,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,0,1,0
1,1,1,0,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,0,0,0
0,0,0,2,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,0,0,0
0,1,0,0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,0,0,0
1,1,0,2,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,0,1,0
1,1,1,0,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,0,0,0
0,0,0,2,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,0,1,0
0,1,0,2,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,0,1,0
1,1,0,2,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,1,0,1
1,1,0,0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,0,1,0
0,1,0,2,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,0,1,0
1,1,1,0,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,0,0,0
0,1,1,0,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,0,1,0
1,1,0,2,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,0,1,0
0,1,1,0,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,0,1,0
1,1,0,0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,1,1,1
1,0,0,0,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,0,1,0
1,1,0,0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,0,1,0
1,1,0,2,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,0,1,0
0,0,0,0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,0,0,0
1,0,0,2,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,0,0,0
0,1,0,2,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,0,1,0
0,1,0,2,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,0,1,0
0,1,0,2,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,0,1,0
1,1,1,0,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,0,1,0
1,1,1,0,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,0,0,0
1,1,0,0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,1,1,1
0,0,0,1,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,0,0,0
0,1,0,2,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,0,1,0
1,0,0,0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,0,0,0
1,1,1,1,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,1,0,1
0,0,0,2,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,0,1,0
1,0,0,0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,0,0,0
1,1,0,2,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,0,1,0
0,0,0,2,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,0,1,0
0,0,0,2,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,0,0,0
1,1,0,2,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,0,1,0
1,1,0,2,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,0,1,0
0,1,1,0,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,0,0,0
1,1,0,2,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,0,1,0
0,1,1,0,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,0,0,0
1,1,1,0,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,0,0,0
1,0,0,0,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,0,0,0
1,1,0,2,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,0,0,0
0,1,1,0,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,0,1,0
1,1,0,2,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,1,0,1
0,1,1,0,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,0,0,0
1,1,0,2,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,0,1,0
1,1,1,0,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,0,0,0
1,1,1,0,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,0,0,0
0,0,0,2,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,0,0,0
1,1,0,1,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,0,1,0
1,1,1,0,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,0,0,0
0,1,0,2,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,0,1,0
1,1,0,2,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,0,1,0
1,1,0,0,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,0,0,0
0,1,0,2,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,0,1,0
1,1,1,0,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,0,0,0
0,1,1,0,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,0,0,0
1,0,0,0,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,0,1,0
1,1,0,2,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,0,0,1
1,1,0,2,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,0,1,0
0,0,0,2,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,0,1,0
1,1,1,0,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,1,0,1
1,1,0,2,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,0,1,0
0,1,0,0,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,0,0,0
1,1,1,0,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,0,1,0
1,1,0,1,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,1,1,1
0,1,1,0,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,1,0,0
1,1,0,2,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,0,0,0
1,1,0,2,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,0,1,0
1,1,0,0,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,0,0,1
1,0,0,2,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4,0,1,0
0,1,0,2,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,0,1,0
1,1,0,2,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,0,1,0
1,1,1,0,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,0,1,0
0,1,1,0,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0,0,1,0
0,1,0,2,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,0,0,0
1,1,0,2,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,0,0,0
1,1,0,2,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3,0,1,0
1,1,0,1,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,0,1,0
1,1,1,0,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,0,0,0
0,0,0,2,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,0,0,0
0,1,1,0,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,0,0,0
0,1,1,0,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,0,0,0
1,1,0,2,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,0,1,0
0,1,0,2,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,0,1,0
1,0,0,0,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,0,0,0
1,0,0,0,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11,0,0,0
1,1,0,0,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,1,0,1
1,1,0,1,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,0,1,0
1,0,0,0,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13,0,0,0
0,1,0,0,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,0,1,0
0,1,0,2,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0,0,0,0
1,1,1,0,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4,0,1,0
0,1,0,2,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,85,1,1,1
0,0,0,2,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0,0,0,0
1,0,0,0,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23,0,0,0
0,1,1,0,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,15,0,0,0
0,1,1,0,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2,0,0,0
1,1,0,2,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,0,0,0
0,1,1,0,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0,0,0,0
0,1,0,2,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,0,1,0
0,1,0,2,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,0,0,1,0
1,1,1,0,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,88,1,0,1
1,1,1,0,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9,0,0,0
0,1,0,0,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,0,0,0,0
1,0,0,0,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0,0,0,0
0,1,1,0,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0,0,0,0
1,1,0,2,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0,0,0,0
0,1,1,0,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0,0,1,0
0,0,0,0,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,28,0,0,0
0,1,0,2,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,0,0,1,0
0,0,0,2,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,0,0,1,0
1,1,0,2,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0,0,1,0
0,1,0,0,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,0,0,1,0
1,1,0,2,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,16,0,1,0
0,1,0,2,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,14,0,1,0
1,1,1,0,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0,0,0,0
1,0,0,2,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,30,0,0,0
0,1,1,0,727,1,5,1,3,4,1,4,4,4,1,1,5,4,4,0,0,0,0,0
1,1,1,2,1249,3,5,3,2,4,4,4,3,3,3,3,4,3,5,40,44,0,0,0
0,1,0,2,2614,2,2,2,2,5,4,4,2,4,4,2,4,2,4,0,9,0,1,0
1,1,0,0,951,2,3,3,3,2,2,4,2,3,5,3,1,4,2,57,41,1,0,0
1,1,0,2,2498,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0,0,0,1,0
1,1,1,1,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,20,0,0,0
0,1,1,1,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,0,0,0,0
1,1,0,2,3724,3,3,3,3,4,4,5,5,5,5,5,4,5,3,19,7,0,1,0
0,0,0,2,280,2,2,2,2,2,2,2,2,2,3,2,2,3,2,0,6,0,0,0
0,1,0,1,641,5,1,1,1,5,5,5,5,3,4,3,5,5,5,0,0,0,1,0
1,1,1,0,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0,0,0,0,0
0,1,1,2,1237,3,4,3,1,4,3,4,5,5,3,5,5,5,5,6,0,0,0,0
1,0,0,0,1062,1,1,1,2,3,1,3,3,4,1,4,5,3,3,0,0,0,0,0
1,1,0,2,2699,2,2,2,2,2,5,4,3,3,3,3,4,3,4,0,3,0,1,0
1,1,0,2,679,1,1,1,1,2,5,4,4,4,4,4,2,4,1,51,71,1,1,1
0,0,0,2,423,4,4,4,3,4,4,4,4,3,2,4,5,5,4,0,5,0,0,0
1,1,0,2,4817,4,4,4,4,5,5,5,3,3,4,4,5,4,5,0,19,0,1,0
1,1,0,2,3833,3,3,3,3,3,2,3,5,5,5,5,4,5,4,0,3,0,1,0
1,1,0,2,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0,0,1,0
1,0,0,1,373,4,4,4,4,3,4,3,3,4,4,1,1,1,3,0,0,0,0,0
1,1,1,0,2279,2,5,2,3,2,4,2,5,3,4,5,2,4,2,17,79,0,0,1
0,1,0,0,862,2,2,2,2,2,2,2,2,3,5,2,3,3,2,0,0,0,1,0
1,1,1,0,666,3,3,3,2,3,1,1,4,2,1,5,1,4,1,243,251,1,0,1
1,1,0,2,759,2,2,2,2,5,4,5,5,3,5,4,4,4,5,0,0,0,1,0
0,1,1,0,2338,2,4,2,3,2,1,1,3,2,4,5,1,4,1,152,151,1,0,1
